全民突击,23713.53
全民超神,0.0
九龙战,0.0
王者荣耀,1.7992505019999992E7
全民枪王,5136.650000000001
穿越火线：枪战王者,0.0
六龙争霸3D,71808.65
天天酷跑,0.0
火影忍者,0.0
天魔幻想,0.0
战斗吧剑灵,121.6
全民斗战神,13223.850000000004
御龙在天,0.0
封神英雄榜,10577.199999999997
保卫萝卜3,17082.6
街头篮球,172963.58999999994
猎鱼达人,14044.800000000001
龙之谷,240168.12
弹弹堂,74509.89999999998
天龙八部,1618965.6499999992
魂斗罗：归来,1838428.9500000002
轩辕传奇,688784.4299999998
寻仙,142005.4
英雄战歌,651.25
乱世王者,1271533.4000000001
饭局狼人杀,10076.0
三国群英传-霸王之业,362851.45000000007
最强NBA,143129.69999999998
火影忍者-疾风传,1198822.82
天天酷跑3D,2296.2000000000003
穿越火线-枪战王者,1673282.83
全民超神-周年庆,4999.7
御龙在天手游,448391.15
仙剑奇侠传online,0.0
梦幻诛仙,0.0
魔法门之英雄无敌：战争纪元,0.0
欢乐球吃球,0.0
御史大冒险,0.0
卡片怪兽,0.0
,2.804007444E7
